application_type,applications,with_conditions,refused
"Vary or Delete Conditions Full/Outline",62,0,0
"Application for Approval of Details Reserved by Condition",59,47,1
"Class E to resi",54,0,28
"London Legacy Development Corporation",54,0,4
Invalid,52,0,0
Conditions,50,0,1
"Prior Approval - Office to Dwelling House",50,0,19
"Prior Approval - Retail/Betting/Pay day Loan to Dwelling House",50,0,20
"Prior Approval Class MA",49,0,27
"Prior Notification (Retail to Resi)",47,0,13
"Retail/ Bet/Loanshop to Restaurant/Café",47,0,29
"Householder Prior Approval(GPDO)",46,0,1
"PA Retail to Residential",46,0,15
"Prior Approval Larger Home Extension",45,0,1
"Non Material",44,0,2
"Non Material Amendments 2",44,0,8
"GPDO 8 Week Consultation",43,6,26
"PA Class MA - Change from Class E to C3",43,1,20
"Prior Approval Part 20",42,0,19
"Approval under Reg 3 Councils own dev",41,0,0
"Deed of Variation",41,0,0
"Retail/Betting/Payday Loan/Casio to A3",41,0,24
"Section 73",41,0,1
"Prior Approval (E) Office to (C3) Resi",39,0,21
"Advertisement Consent",38,12,3
"Certificate of Lawfulness Proposed",38,0,4
"Prior Approval Shop to Restaurant",38,2,10
"Section 73 (Minor Material Amendment)",38,25,4
"Certificates Lawful Proposed Use or Dev.",37,0,6
"Demolition determination",37,0,9
"Lawful Development Certificate (Existing)",37,0,0
"Reserved Matters",36,3,1
"Prior Approval: Demolition of building",35,0,2
"PA - Coronavirus Regulations 2020",34,0,15
"Prior Approval - Retail/Betting/Pay day Loan/Casino to Restaurant/Cafe",34,0,12
"Prior Approval Demolition",34,0,10
"Prior Approval - houses",33,0,18
"Removal of condition(s)",33,0,10
"S106 approval of details/discharge",33,0,0
"Local Authority Regulation 3 Application",32,0,0
"Retail/sui generis to residential",32,0,14
"Fast-track householder LDCs",31,0,1
"Prior Approval - Retail to Retail",30,0,23
"Permission in Principle",29,3,9
"Section 106 - Notification",29,0,1
"XXX - GPDO - Class A -- DO NOT USE",29,0,14
"Cert of Lawful Use/Operation - Prop FT",28,0,5
"Lawful development: Existing use",28,0,5
"Removal/Variation of Condition(s)",28,1,2
"Article 16/17 Consultation",27,0,0
"Certificate of Lawfulness Listed Building (Proposed)",27,18,3
"Consultation by Other Boroughs",27,0,0
"OPDC Discharge Condition",27,0,0
"PA: Commercial/Business/Service to Dwellinghouses",27,0,6
"Prior Appvl - Class E to (dwellings) C3",27,0,8
"Prior approval Part 3 Class MA: Commercial, business and service uses to dwellinghouses",27,9,10
"Prior Approval Residential",26,0,7
"Prior Notification (Retail/betting to A3",26,0,11
